vehicle_id,policy_id,vin,make,model,year,color,license_plate,vehicle_type,market_value
V001,POL001,4T1BF3EK7AU123456,Toyota,Camry,2020,Silver,ATL-1234,Sedan,24500.00
V002,POL001,5J6RE4H49AL234567,Honda,CR-V,2019,Blue,ATL-5678,SUV,21000.00
V003,POL002,WBA5A5C57GG345678,BMW,330i,2021,Black,BOS-2345,Sedan,48000.00
V004,POL003,5YJ3E1EA6JF456789,Tesla,Model S,2022,White,SFO-3456,Sedan,89000.00
V005,POL004,1FADP3F22GL567890,Ford,Focus,2018,Red,CHI-4567,Sedan,14500.00
V006,POL005,JF2GTAEC6LH678901,Subaru,Outback,2020,Green,DAL-5678,SUV,28000.00
V007,POL006,1GCNCPEH8EZ789012,Chevrolet,Silverado,2019,Gray,MIA-6789,Truck,32000.00
V008,POL007,1HGCV1F30KA890123,Honda,Accord,2021,White,SEA-7890,Sedan,27500.00
V009,POL008,3TMCZ5AN1HM901234,Toyota,Tacoma,2017,Navy,DEN-8901,Truck,31000.00
V010,POL009,JM3KFACM5K1012345,Mazda,CX-5,2022,Red,PHX-9012,SUV,33500.00
V011,POL010,1N4AL3AP4KC123456,Nissan,Altima,2019,White,NSH-0123,Sedan,19500.00
