claim_id,claim_number,policy_id,customer_id,vehicle_id,incident_id,adjuster_id,repair_shop_id,claim_date,claim_status,claim_type,total_claimed_amount,fault_indicator
CLM001,CLM-2023-0714,POL001,C001,V001,INC001,ADJ001,RS001,2023-07-15,Closed,Collision,12500.00,Not At Fault
CLM002,CLM-2023-0902,POL001,C001,V001,INC002,ADJ003,RS006,2023-09-05,Closed,Comprehensive,6200.00,No Fault
CLM003,CLM-2024-0120,POL001,C001,V002,INC003,ADJ002,RS003,2024-01-22,Open,Collision,3400.00,Disputed
CLM004,CLM-2023-0411,POL002,C002,V003,INC004,ADJ001,RS001,2023-04-12,Closed,Collision,28000.00,Not At Fault
CLM005,CLM-2023-1029,POL002,C002,V003,INC005,ADJ004,,2023-10-30,Closed,Comprehensive,1200.00,No Fault
CLM006,CLM-2024-0208,POL003,C003,V004,INC006,ADJ001,RS004,2024-02-09,Open,Collision,45000.00,Not At Fault
CLM007,CLM-2024-0315,POL004,C004,V005,INC007,ADJ002,RS002,2024-03-16,Closed,Collision,4800.00,At Fault
CLM008,CLM-2023-1118,POL005,C005,V006,INC008,ADJ002,RS003,2023-11-19,Closed,Comprehensive,8500.00,No Fault
CLM009,CLM-2024-0105,POL006,C006,V007,INC009,ADJ003,RS005,2024-01-06,Open,Comprehensive,2200.00,Unknown
CLM010,CLM-2024-0328,POL007,C007,V008,INC010,ADJ001,RS001,2024-03-29,Open,Collision,15300.00,Not At Fault
CLM011,CLM-2023-0803,POL008,C008,V009,INC011,ADJ004,,2023-08-04,Closed,Comprehensive,22000.00,No Fault
CLM012,CLM-2023-1219,POL010,C010,V011,INC012,ADJ005,RS002,2023-12-20,Closed,Collision,5600.00,At Fault
